frame,bbox,face_id,face_detect_conf,face_track_conf,sex_decfunc,age_decfunc,sex_label,age_label,sex_decfunc_avg,age_decfunc_avg,sex_label_avg,age_label_avg
150,"(942, -21, 1110, 146)",1,0.72,22.73,7.604,3.776,m,32.762,8.146,3.753,m,32.527
150,"(571, 199, 731, 359)",5,0.832,,14.129,3.23,m,27.296,12.904,3.23,m,27.299
150,"(717, -7, 906, 181)",6,0.673,,-3.253,2.938,f,24.384,-3.253,2.938,f,24.384
160,"(51, 106, 252, 307)",0,,21.445,-13.79,3.193,f,26.931,-13.488,3.298,f,27.982
160,"(938, -20, 1098, 140)",1,,14.648,5.68,3.606,m,31.064,8.146,3.753,m,32.527
160,"(573, 202, 737, 366)",5,,18.551,11.214,3.206,m,27.059,12.904,3.23,m,27.299
170,"(46, 109, 246, 309)",0,,20.035,-14.319,3.207,f,27.071,-13.488,3.298,f,27.982
170,"(938, -31, 1107, 137)",1,,17.548,11.61,3.688,m,31.879,8.146,3.753,m,32.527
170,"(564, 202, 729, 367)",5,,14.809,13.123,3.082,m,25.821,12.904,3.23,m,27.299
180,"(41, 111, 233, 302)",0,,19.242,-12.643,3.206,f,27.062,-13.488,3.298,f,27.982
180,"(933, -30, 1102, 138)",1,,13.271,9.365,3.764,m,32.636,8.146,3.753,m,32.527
180,"(560, 195, 727, 363)",5,,17.352,13.965,3.246,m,27.457,12.904,3.23,m,27.299
190,"(44, 95, 240, 291)",0,,15.039,-14.749,3.433,f,29.331,-13.488,3.298,f,27.982
190,"(565, 184, 731, 350)",5,,18.347,14.871,3.39,m,28.902,12.904,3.23,m,27.299
200,"(25, 92, 240, 307)",0,0.968,15.271,-12.553,3.453,f,29.531,-13.488,3.298,f,27.982
200,"(574, 187, 741, 354)",5,0.816,13.859,12.457,3.212,m,27.116,12.904,3.23,m,27.299
210,"(574, 174, 738, 338)",5,,8.264,10.566,3.244,m,27.445,12.904,3.23,m,27.299
250,"(807, 92, 938, 223)",7,0.998,,-7.462,2.437,f,19.365,-8.145,2.559,f,20.588
250,"(253, 109, 405, 261)",8,0.983,,-8,2.779,f,22.791,-8.877,3.003,f,25.029
250,"(582, 222, 753, 392)",9,0.729,,10.846,3.029,m,25.293,10.846,3.029,m,25.293
260,"(820, 78, 951, 209)",7,,17.851,-7.56,2.509,f,20.085,-8.145,2.559,f,20.588
260,"(250, 110, 402, 262)",8,,19.283,-9.409,3.019,f,25.194,-8.877,3.003,f,25.029
270,"(846, 58, 977, 189)",7,,8.05,-7.544,2.719,f,22.194,-8.145,2.559,f,20.588
270,"(250, 101, 404, 256)",8,,12.543,-9.221,3.21,f,27.104,-8.877,3.003,f,25.029
280,"(870, 63, 1005, 197)",7,,10.794,-8.524,2.534,f,20.339,-8.145,2.559,f,20.588
290,"(859, 80, 989, 210)",7,,8.637,-8.862,2.47,f,19.7,-8.145,2.559,f,20.588
300,"(872, 90, 996, 215)",7,0.996,8.508,-8.631,2.329,f,18.285,-8.145,2.559,f,20.588
300,"(-15, 146, 203, 365)",10,0.998,,-7.135,2.931,f,24.308,-8.25,3.076,f,25.763
300,"(332, 150, 466, 284)",11,0.975,,-7.06,2.921,f,24.209,-7.867,2.945,f,24.45
300,"(594, 253, 764, 424)",12,0.797,,12.526,2.931,m,24.311,13.256,2.968,m,24.678
310,"(880, 98, 1010, 228)",7,,17.422,-8.476,2.272,f,17.724,-8.145,2.559,f,20.588
310,"(19, 152, 231, 364)",10,,11.315,-9.364,3.222,f,27.219,-8.25,3.076,f,25.763
310,"(342, 159, 478, 295)",11,,17.179,-8.185,3.144,f,26.444,-7.867,2.945,f,24.45
310,"(590, 262, 760, 432)",12,,18.219,13.84,2.937,m,24.367,13.256,2.968,m,24.678
320,"(886, 94, 1016, 224)",7,,20.382,-8.761,2.613,f,21.129,-8.145,2.559,f,20.588
320,"(341, 168, 477, 305)",11,,18.86,-6.862,2.947,f,24.473,-7.867,2.945,f,24.45
320,"(598, 277, 766, 445)",12,,12.707,13.634,2.955,m,24.551,13.256,2.968,m,24.678
330,"(884, 91, 1019, 226)",7,,14.721,-8.349,2.807,f,23.074,-8.145,2.559,f,20.588
330,"(335, 166, 473, 304)",11,,19.014,-8.492,2.862,f,23.623,-7.867,2.945,f,24.45
330,"(598, 283, 764, 448)",12,,15.332,14.525,3.113,m,26.131,13.256,2.968,m,24.678
340,"(877, 77, 1015, 215)",7,,9.916,-7.538,2.794,f,22.938,-8.145,2.559,f,20.588
340,"(332, 136, 478, 282)",11,,11.205,-8.385,2.74,f,22.398,-7.867,2.945,f,24.45
340,"(604, 270, 772, 438)",12,,14.795,11.968,2.97,m,24.703,13.256,2.968,m,24.678
350,"(873, 67, 1006, 201)",7,0.996,9.021,-7.887,2.664,f,21.639,-8.145,2.559,f,20.588
350,"(336, 122, 473, 259)",11,0.962,20.348,-8.216,3.056,f,25.555,-7.867,2.945,f,24.45
350,"(612, 261, 791, 439)",12,0.947,13.846,13.042,2.9,m,24.004,13.256,2.968,m,24.678
