frame,bbox,face_id,detect_conf,track_conf,sex_decfunc,age_decfunc,sex_label,age_label,sex_decfunc_avg,age_decfunc_avg,sex_label_avg,age_label_avg
0,"(62, 100, 274, 313)",0,0.9975581169128418,,-14.275117,3.243507,f,27.43506908416748,-13.757429,3.239944,f,27.399439811706543
0,"(951, -7, 1130, 173)",1,0.9882429242134094,,7.922106,3.753091,m,32.53091096878052,8.010995,3.7638829,m,32.63882875442505
0,"(744, 17, 933, 206)",2,0.9872483611106873,,-7.5384836,2.421157,f,19.21156883239746,-7.7898626,2.379425,f,18.79425048828125
0,"(557, 199, 733, 375)",3,0.9337108731269836,,8.253278,2.7713919,m,22.713918685913086,7.4075794,2.78027,m,22.802700996398926
0,"(312, 161, 497, 347)",4,0.8094119429588318,,-11.365967,2.9643774,f,24.643774032592773,-10.052649,2.8265493,f,23.265492916107178
10,"(72, 105, 281, 315)",0,,22.637105049346303,-13.575327,3.2917504,f,27.91750431060791,-13.757429,3.239944,f,27.399439811706543
10,"(958, -7, 1134, 169)",1,,22.209789030798323,9.148193,3.6788075,m,31.78807497024536,8.010995,3.7638829,m,32.63882875442505
10,"(746, 14, 940, 209)",2,,21.370910818882567,-8.824031,2.4444199,f,19.444198608398438,-7.7898626,2.379425,f,18.79425048828125
10,"(562, 197, 738, 373)",3,,23.665136456267703,11.6278305,2.8639767,m,23.639767169952393,7.4075794,2.78027,m,22.802700996398926
10,"(317, 160, 505, 348)",4,,21.522939799182335,-11.072003,2.9492774,f,24.49277400970459,-10.052649,2.8265493,f,23.265492916107178
20,"(68, 100, 281, 314)",0,,23.219115733445186,-14.448332,3.4431887,f,29.431886672973633,-13.757429,3.239944,f,27.399439811706543
20,"(953, -9, 1132, 170)",1,,22.99842950466103,7.8119173,3.9335084,m,34.335083961486816,8.010995,3.7638829,m,32.63882875442505
20,"(744, 23, 927, 206)",2,,17.64406981837354,-9.321258,2.6664562,f,21.664562225341797,-7.7898626,2.379425,f,18.79425048828125
20,"(564, 199, 739, 374)",3,,22.57140391578616,10.281686,2.8839498,m,23.839497566223145,7.4075794,2.78027,m,22.802700996398926
20,"(315, 159, 502, 346)",4,,25.606078454241846,-10.5486,2.886425,f,23.86425018310547,-10.052649,2.8265493,f,23.265492916107178
30,"(61, 105, 278, 322)",0,,23.30028047000849,-13.234935,3.29135,f,27.913498878479004,-13.757429,3.239944,f,27.399439811706543
30,"(948, -7, 1127, 172)",1,,25.74967665570173,8.323773,3.8155243,m,33.15524339675903,8.010995,3.7638829,m,32.63882875442505
30,"(738, 24, 919, 204)",2,,16.383438863652675,-9.23216,2.6060123,f,21.060123443603516,-7.7898626,2.379425,f,18.79425048828125
30,"(563, 205, 738, 380)",3,,15.615480085082071,5.7440653,2.9672966,m,24.67296600341797,7.4075794,2.78027,m,22.802700996398926
30,"(309, 162, 495, 348)",4,,23.630730095854183,-10.1839905,2.8758616,f,23.75861644744873,-10.052649,2.8265493,f,23.265492916107178
40,"(62, 107, 275, 320)",0,,21.592683753470727,-13.453168,3.2512407,f,27.512407302856445,-13.757429,3.239944,f,27.399439811706543
40,"(939, -7, 1119, 174)",1,,21.930590882648822,6.74496,3.8017979,m,33.01797866821289,8.010995,3.7638829,m,32.63882875442505
