frame,bbox,detect_conf,sex_decfunc,sex_label
24,"(309, 161, 496, 348)",0.9969087,-14.466921241202057,f
24,"(738, 17, 941, 219)",0.96465653,-4.95287939495771,f
24,"(557, 198, 744, 386)",0.90247256,16.805806085219924,m
24,"(57, 104, 257, 304)",0.7399331,-5.581650457924908,f
25,"(309, 162, 496, 349)",0.99704784,-14.078156647930987,f
25,"(737, 15, 941, 219)",0.963043,-5.843390422206287,f
25,"(557, 198, 744, 386)",0.9020772,16.50265140262102,m
25,"(65, 103, 254, 293)",0.706441,-4.194052992302761,f
26,"(308, 161, 496, 349)",0.99682117,-12.891829899907227,f
26,"(737, 16, 938, 218)",0.96069545,-5.94035662895587,f
26,"(558, 200, 743, 384)",0.90477705,15.346109579010202,m
26,"(60, 106, 254, 301)",0.7189125,-5.510905654847965,f
27,"(307, 163, 494, 349)",0.9967698,-13.117549855353468,f
27,"(737, 17, 937, 218)",0.9600684,-6.432786437393084,f
27,"(561, 202, 742, 383)",0.929155,15.410287373299402,m
27,"(61, 109, 250, 299)",0.8001372,-5.715169626184805,f
28,"(306, 163, 493, 350)",0.99600816,-13.191468297929474,f
28,"(736, 18, 936, 218)",0.9553578,-5.58459266037684,f
28,"(561, 204, 741, 384)",0.90349066,15.007968258303158,m
28,"(66, 108, 248, 290)",0.8828625,-3.9724753964122486,f
29,"(305, 163, 492, 350)",0.9954326,-13.350870617649289,f
29,"(735, 19, 935, 219)",0.9548382,-5.212534007387065,f
29,"(66, 110, 243, 287)",0.8955912,-3.4427694906991095,f
29,"(560, 204, 741, 385)",0.8693399,15.315366638596165,m
30,"(305, 163, 490, 349)",0.9953999,-13.360704478523418,f
30,"(734, 20, 934, 221)",0.9564775,-7.285222281826331,f
30,"(60, 114, 243, 298)",0.9056361,-7.292152384603087,f
30,"(561, 206, 739, 385)",0.851205,14.78275300643019,m
31,"(306, 164, 489, 348)",0.9954762,-14.34032253300088,f
31,"(733, 20, 935, 222)",0.9563427,-5.488157496119212,f
31,"(60, 115, 242, 297)",0.9150843,-6.915187211457697,f
31,"(560, 206, 740, 386)",0.8462642,14.931523759962511,m
32,"(307, 164, 490, 348)",0.9962048,-15.21035540962004,f
32,"(733, 21, 934, 223)",0.95902073,-6.186515767390954,f
32,"(61, 115, 242, 296)",0.9183803,-7.076300469762019,f
32,"(559, 206, 741, 388)",0.83582383,14.267974322305678,m
33,"(308, 164, 491, 348)",0.99660456,-15.403710453448214,f
33,"(733, 21, 934, 222)",0.96137893,-7.526035835657504,f
33,"(62, 115, 242, 296)",0.919705,-7.797080702286554,f
33,"(559, 206, 742, 389)",0.83759266,14.646065425605057,m
34,"(308, 164, 492, 348)",0.99650025,-16.085798111659173,f
34,"(733, 21, 934, 222)",0.96040374,-7.517856305019523,f
34,"(63, 116, 243, 296)",0.91567975,-5.139247165287653,f
