frame,bb,face_id,face_detect_conf,tracking_conf,sex_label,sex_decision_function,avg_sex_decision_function,avg_sex_label
17,"(65, 104, 277, 315)",0,,18.888,f,-6.647,-9.679,f
17,"(949, -7, 1133, 176)",1,,26.752,m,10.697,11.401,m
17,"(744, 19, 932, 207)",2,,19.679,f,-4.746,-6.520,f
17,"(565, 199, 739, 372)",3,,20.630,m,17.845,16.904,m
17,"(316, 157, 506, 346)",4,,20.489,f,-12.137,-15.173,f
18,"(66, 102, 282, 318)",0,,25.989,f,-8.836,-9.679,f
18,"(945, -7, 1129, 176)",1,,19.553,m,12.267,11.401,m
18,"(744, 17, 938, 211)",2,,25.524,f,-4.138,-6.520,f
18,"(563, 199, 733, 369)",3,,23.978,m,19.152,16.904,m
18,"(316, 162, 491, 337)",4,,17.697,f,-13.657,-15.173,f
19,"(63, 105, 275, 316)",0,,20.514,f,-6.566,-9.679,f
19,"(948, -7, 1132, 176)",1,,26.449,m,11.455,11.401,m
19,"(743, 20, 931, 207)",2,,18.939,f,-4.788,-6.520,f
19,"(562, 199, 736, 373)",3,,26.889,m,17.389,16.904,m
19,"(316, 157, 504, 345)",4,,21.197,f,-13.507,-15.173,f
20,"(64, 100, 281, 317)",0,0.998,26.630,f,-6.100,-9.679,f
20,"(951, -7, 1133, 174)",1,0.991,21.908,m,12.138,11.401,m
20,"(742, 17, 939, 214)",2,0.982,27.614,f,-5.151,-6.520,f
20,"(560, 198, 738, 375)",3,0.952,25.425,m,16.540,16.904,m
20,"(315, 159, 501, 344)",4,0.793,25.125,f,-13.704,-15.173,f
21,"(63, 104, 274, 315)",0,,19.615,f,-7.367,-9.679,f
21,"(951, -7, 1133, 174)",1,,27.272,m,11.730,11.401,m
21,"(742, 17, 939, 214)",2,,28.133,f,-5.505,-6.520,f
21,"(561, 198, 738, 375)",3,,28.438,m,17.177,16.904,m
21,"(318, 158, 505, 345)",4,,22.035,f,-14.570,-15.173,f
22,"(64, 102, 280, 318)",0,,25.152,f,-7.840,-9.679,f
22,"(951, -7, 1133, 174)",1,,26.163,m,11.899,11.401,m
22,"(742, 17, 939, 214)",2,,27.192,f,-5.578,-6.520,f
22,"(561, 199, 738, 376)",3,,27.326,m,16.539,16.904,m
22,"(316, 159, 501, 344)",4,,26.962,f,-13.393,-15.173,f
23,"(62, 104, 274, 317)",0,,19.166,f,-8.538,-9.679,f
23,"(951, -8, 1133, 174)",1,,25.724,m,10.792,11.401,m
23,"(741, 16, 938, 214)",2,,26.783,f,-5.960,-6.520,f
23,"(562, 199, 739, 376)",3,,27.195,m,16.597,16.904,m
23,"(316, 159, 502, 344)",4,,28.406,f,-13.339,-15.173,f
24,"(63, 102, 280, 320)",0,,25.125,f,-8.224,-9.679,f
24,"(950, -8, 1132, 173)",1,,26.298,m,10.753,11.401,m
24,"(741, 16, 938, 213)",2,,26.928,f,-5.612,-6.520,f
24,"(562, 199, 739, 377)",3,,26.712,m,16.469,16.904,m
24,"(315, 161, 496, 342)",4,,19.727,f,-13.671,-15.173,f
25,"(64, 105, 281, 322)",0,0.996,26.287,f,-9.155,-9.679,f
25,"(951, -6, 1131, 172)",1,0.987,25.988,m,11.567,11.401,m
25,"(741, 18, 935, 212)",2,0.983,20.740,f,-5.526,-6.520,f
25,"(563, 198, 741, 377)",3,0.894,20.158,m,16.680,16.904,m
25,"(314, 159, 500, 345)",4,0.800,26.284,f,-14.014,-15.173,f
26,"(62, 108, 273, 319)",0,,20.165,f,-9.222,-9.679,f
26,"(947, -6, 1125, 172)",1,,19.828,m,12.112,11.401,m
26,"(740, 21, 927, 208)",2,,19.982,f,-4.370,-6.520,f
26,"(560, 200, 737, 377)",3,,18.783,m,16.571,16.904,m
26,"(313, 162, 493, 341)",4,,21.179,f,-12.690,-15.173,f
27,"(71, 110, 279, 319)",0,,19.985,f,-8.754,-9.679,f
27,"(949, -5, 1128, 173)",1,,26.596,m,11.753,11.401,m
27,"(739, 19, 933, 213)",2,,25.360,f,-6.324,-6.520,f
27,"(562, 200, 741, 379)",3,,25.475,m,16.863,16.904,m
27,"(312, 160, 497, 345)",4,,26.160,f,-12.364,-15.173,f
28,"(64, 110, 269, 315)",0,,17.429,f,-7.077,-9.679,f
28,"(943, -6, 1125, 175)",1,,20.915,m,10.738,11.401,m
28,"(738, 23, 926, 210)",2,,21.155,f,-3.927,-6.520,f
28,"(561, 203, 736, 378)",3,,18.600,m,16.793,16.904,m
28,"(312, 163, 490, 340)",4,,21.899,f,-12.131,-15.173,f
29,"(70, 112, 278, 319)",0,,19.901,f,-9.397,-9.679,f
29,"(948, -3, 1126, 174)",1,,26.259,m,12.578,11.401,m
29,"(737, 20, 931, 214)",2,,25.812,f,-6.594,-6.520,f
29,"(562, 202, 741, 381)",3,,25.066,m,16.499,16.904,m
29,"(310, 161, 494, 345)",4,,25.619,f,-11.947,-15.173,f
30,"(60, 107, 277, 324)",0,0.996,26.483,f,-11.011,-9.679,f
30,"(944, -9, 1127, 173)",1,0.988,24.741,m,12.243,11.401,m
30,"(733, 17, 932, 215)",2,0.966,27.411,f,-5.252,-6.520,f
30,"(563, 203, 739, 379)",3,0.891,18.788,m,15.734,16.904,m
30,"(311, 161, 496, 346)",4,0.797,26.458,f,-13.430,-15.173,f
31,"(60, 107, 277, 324)",0,,26.389,f,-10.781,-9.679,f
31,"(940, -8, 1123, 174)",1,,20.218,m,11.206,11.401,m
31,"(733, 20, 925, 212)",2,,20.628,f,-5.378,-6.520,f
31,"(563, 203, 739, 380)",3,,27.895,m,16.457,16.904,m
31,"(312, 159, 502, 349)",4,,21.768,f,-14.826,-15.173,f
32,"(60, 108, 277, 325)",0,,28.405,f,-10.081,-9.679,f
32,"(946, -8, 1130, 174)",1,,20.884,m,12.150,11.401,m
32,"(732, 17, 931, 216)",2,,26.291,f,-5.445,-6.520,f
